epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,807.461,1.59704,0.72662,0.81752,0.8946,0.87706,0.89825,0.48708,1.6904,0.75105,0.86445,0.000504723,0.000504723,0.000504723
100,815.281,1.57634,0.71556,0.81381,0.89258,0.85907,0.89139,0.49345,1.69533,0.7431,0.86053,0.000495291,0.000495291,0.000495291
101,823.536,1.60038,0.72602,0.80868,0.88731,0.82725,0.89077,0.47084,1.72988,0.76783,0.86511,0.00048586,0.00048586,0.00048586
102,831.602,1.54661,0.7169,0.81947,0.8484,0.82819,0.88294,0.47185,1.71545,0.79005,0.86454,0.000476429,0.000476429,0.000476429
103,839.325,1.52037,0.70141,0.80521,0.83528,0.81953,0.87803,0.46297,1.73332,0.79522,0.86509,0.000466997,0.000466997,0.000466997
104,847.145,1.44693,0.67835,0.81329,0.9079,0.82654,0.88996,0.47513,1.71065,0.79476,0.86343,0.000457566,0.000457566,0.000457566
105,854.912,1.49786,0.69102,0.81277,0.87981,0.79657,0.89347,0.49873,1.67962,0.78676,0.85947,0.000448134,0.000448134,0.000448134
106,862.866,1.5765,0.68868,0.8141,0.82024,0.82084,0.88812,0.48548,1.65449,0.78032,0.86148,0.000438703,0.000438703,0.000438703
107,870.522,1.57744,0.66078,0.81347,0.94605,0.67949,0.87304,0.47452,1.73403,0.81575,0.86372,0.000429272,0.000429272,0.000429272
108,878.377,1.49584,0.66446,0.81522,0.85016,0.78308,0.87251,0.45714,1.76815,0.82319,0.86417,0.00041984,0.00041984,0.00041984
109,886.631,1.37363,0.64353,0.8105,0.87837,0.85592,0.89617,0.48977,1.71977,0.81175,0.86172,0.000410409,0.000410409,0.000410409
110,894.432,1.46939,0.66809,0.82053,0.88386,0.83751,0.89357,0.50493,1.69563,0.79527,0.86024,0.000400977,0.000400977,0.000400977
111,902.262,1.49299,0.66876,0.81419,0.87118,0.85301,0.90319,0.51946,1.65248,0.77403,0.85669,0.000391546,0.000391546,0.000391546
112,910.186,1.42537,0.66272,0.79998,0.89426,0.88542,0.91465,0.50242,1.66124,0.7497,0.85879,0.000382115,0.000382115,0.000382115
113,918.194,1.41692,0.65527,0.80199,0.91611,0.9031,0.92283,0.53774,1.61582,0.72233,0.85309,0.000372683,0.000372683,0.000372683
114,925.998,1.41206,0.64694,0.81019,0.92274,0.89535,0.91893,0.52019,1.64071,0.71807,0.85706,0.000363252,0.000363252,0.000363252
115,933.872,1.4502,0.65553,0.8154,0.91528,0.89147,0.92467,0.52542,1.61557,0.71955,0.85287,0.00035382,0.00035382,0.00035382
116,941.79,1.45274,0.6466,0.80651,0.91959,0.87841,0.91587,0.53601,1.62843,0.71215,0.85815,0.000344389,0.000344389,0.000344389
117,949.305,1.49092,0.65179,0.81959,0.90645,0.87984,0.91299,0.5198,1.64255,0.72353,0.85961,0.000334958,0.000334958,0.000334958
118,960.813,1.44393,0.62668,0.81224,0.91598,0.8544,0.91398,0.51784,1.64496,0.73402,0.86115,0.000325526,0.000325526,0.000325526
119,969.415,1.3346,0.61117,0.80593,0.90771,0.87209,0.90683,0.51585,1.70861,0.74679,0.86529,0.000316095,0.000316095,0.000316095
120,978.415,1.40515,0.61755,0.80356,0.91762,0.88223,0.92109,0.5428,1.57991,0.71805,0.85612,0.000306663,0.000306663,0.000306663
121,986.301,1.43293,0.62911,0.80642,0.89312,0.87294,0.90198,0.52667,1.61656,0.72983,0.85713,0.000297232,0.000297232,0.000297232
122,994.275,1.42444,0.64147,0.81184,0.91259,0.86549,0.91218,0.5172,1.60761,0.71885,0.85557,0.000287801,0.000287801,0.000287801
123,1002.09,1.41304,0.65722,0.80176,0.90997,0.86935,0.91189,0.52667,1.59029,0.71087,0.85493,0.000278369,0.000278369,0.000278369
124,1010.99,1.37639,0.62934,0.80716,0.86784,0.87209,0.89222,0.50973,1.65296,0.71799,0.86252,0.000268938,0.000268938,0.000268938
125,1018.88,1.37858,0.61573,0.80269,0.89969,0.85981,0.89901,0.52878,1.61686,0.7238,0.85788,0.000259506,0.000259506,0.000259506
126,1027.09,1.42568,0.66994,0.81754,0.8975,0.87332,0.9073,0.5252,1.59624,0.70622,0.85757,0.000250075,0.000250075,0.000250075
127,1034.86,1.35408,0.59122,0.80945,0.9301,0.86822,0.90805,0.52678,1.58916,0.69426,0.85761,0.000240644,0.000240644,0.000240644
128,1042.98,1.3778,0.60902,0.7983,0.93453,0.86047,0.91078,0.51547,1.6443,0.70921,0.86059,0.000231212,0.000231212,0.000231212
129,1051.16,1.36059,0.62239,0.80539,0.95044,0.86217,0.91727,0.53475,1.54766,0.69705,0.85635,0.000221781,0.000221781,0.000221781
130,1059.52,1.38292,0.60748,0.80874,0.93322,0.86033,0.91834,0.53197,1.59131,0.69389,0.86058,0.000212349,0.000212349,0.000212349
131,1067.38,1.36738,0.60356,0.8043,0.93444,0.87597,0.921,0.54029,1.54018,0.69026,0.85539,0.000202918,0.000202918,0.000202918
132,1075.89,1.38278,0.63497,0.80449,0.91332,0.87863,0.91852,0.54605,1.50061,0.68734,0.85144,0.000193487,0.000193487,0.000193487
133,1084.06,1.319,0.60015,0.80745,0.91742,0.86994,0.91645,0.53874,1.5153,0.69198,0.85317,0.000184055,0.000184055,0.000184055
134,1092.2,1.31142,0.57834,0.79913,0.90841,0.89922,0.92381,0.55021,1.51047,0.67866,0.85374,0.000174624,0.000174624,0.000174624
135,1101.21,1.3225,0.59657,0.80191,0.89471,0.89395,0.92379,0.55062,1.52736,0.67912,0.85375,0.000165192,0.000165192,0.000165192
136,1110.13,1.32599,0.57914,0.80787,0.90926,0.8961,0.9251,0.54644,1.50122,0.66441,0.85416,0.000155761,0.000155761,0.000155761
137,1117.85,1.27887,0.55881,0.80314,0.90444,0.88603,0.91741,0.53424,1.55425,0.69653,0.85604,0.00014633,0.00014633,0.00014633
138,1125.84,1.29111,0.56447,0.809,0.9104,0.87984,0.91956,0.55326,1.5236,0.68914,0.85243,0.000136898,0.000136898,0.000136898
139,1134.78,1.32666,0.60139,0.80017,0.91463,0.87635,0.92042,0.5567,1.52076,0.6833,0.85269,0.000127467,0.000127467,0.000127467
140,1143.13,1.2991,0.56059,0.80948,0.9159,0.88562,0.92202,0.55195,1.52643,0.68792,0.85361,0.000118035,0.000118035,0.000118035
141,1172.11,1.30577,0.59281,0.80383,0.92173,0.89272,0.91775,0.54106,1.52943,0.67657,0.85293,0.000108604,0.000108604,0.000108604
142,1180.01,1.24352,0.56054,0.81167,0.92787,0.88684,0.91012,0.52676,1.55669,0.69495,0.85455,9.91726e-05,9.91726e-05,9.91726e-05
143,1188.18,1.34544,0.56861,0.79386,0.93738,0.8795,0.91452,0.51983,1.58871,0.70382,0.85628,8.97412e-05,8.97412e-05,8.97412e-05
144,1196.51,1.2393,0.55369,0.80493,0.93531,0.8876,0.91572,0.51479,1.61928,0.70762,0.85733,8.03098e-05,8.03098e-05,8.03098e-05
145,1204.86,1.25886,0.54901,0.8098,0.90704,0.88651,0.91505,0.51831,1.63287,0.71156,0.85755,7.08784e-05,7.08784e-05,7.08784e-05
146,1213.16,1.24719,0.55728,0.80253,0.89691,0.8876,0.91815,0.52107,1.57122,0.69766,0.85597,6.1447e-05,6.1447e-05,6.1447e-05
147,1221.77,1.23641,0.55352,0.79074,0.84166,0.90143,0.90702,0.52074,1.55842,0.69748,0.85664,5.20156e-05,5.20156e-05,5.20156e-05
148,1230.02,1.25825,0.5481,0.7996,0.86845,0.86003,0.91241,0.52723,1.55978,0.69476,0.85642,4.25842e-05,4.25842e-05,4.25842e-05
149,1237.79,1.19175,0.53511,0.8047,0.86829,0.8603,0.90731,0.52293,1.58685,0.71013,0.85728,3.31528e-05,3.31528e-05,3.31528e-05
150,1245.63,1.19804,0.5646,0.80434,0.87727,0.88622,0.90962,0.52429,1.58086,0.70649,0.85661,2.37214e-05,2.37214e-05,2.37214e-05
